##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR1054355_FASTQ_T0
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	195380983
Sequences flagged as poor quality	0
Sequence length	50
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.29078721545791	33.0	31.0	34.0	30.0	34.0
2	32.52796786778374	34.0	31.0	34.0	31.0	34.0
3	32.58145148650419	34.0	31.0	34.0	31.0	34.0
4	36.06522090740018	37.0	35.0	37.0	35.0	37.0
5	35.969164716506725	37.0	35.0	37.0	35.0	37.0
6	35.965473282525146	37.0	35.0	37.0	35.0	37.0
7	35.941165123526886	37.0	35.0	37.0	35.0	37.0
8	35.922965793451866	37.0	35.0	37.0	35.0	37.0
9	37.63343287099748	39.0	37.0	39.0	35.0	39.0
10	37.619466711353375	39.0	37.0	39.0	35.0	39.0
11	37.60108527553063	39.0	37.0	39.0	35.0	39.0
12	37.5846325125716	39.0	37.0	39.0	35.0	39.0
13	37.573541182357545	39.0	37.0	39.0	35.0	39.0
14	38.9480557429686	40.0	38.0	41.0	35.0	41.0
15	38.90589595917838	40.0	38.0	41.0	35.0	41.0
16	38.89256175970821	40.0	38.0	41.0	35.0	41.0
17	38.88760803296808	40.0	38.0	41.0	35.0	41.0
18	38.87236358105538	40.0	38.0	41.0	35.0	41.0
19	38.90559020270668	40.0	38.0	41.0	35.0	41.0
20	38.86239672568338	40.0	38.0	41.0	34.0	41.0
21	38.790564939475196	40.0	38.0	41.0	34.0	41.0
22	38.72374709569355	40.0	38.0	41.0	34.0	41.0
23	38.66865405728868	40.0	38.0	41.0	34.0	41.0
24	38.62097914616388	40.0	38.0	41.0	34.0	41.0
25	38.54710812873738	40.0	38.0	41.0	34.0	41.0
26	38.41856398071249	40.0	38.0	41.0	34.0	41.0
27	38.31940175057876	40.0	38.0	41.0	34.0	41.0
28	38.2167323981577	40.0	38.0	41.0	33.0	41.0
29	38.12158529778714	40.0	38.0	41.0	33.0	41.0
30	38.024157207766734	40.0	38.0	41.0	33.0	41.0
31	37.907251280438075	40.0	38.0	41.0	33.0	41.0
32	37.802061370527554	40.0	37.0	41.0	33.0	41.0
33	37.956101203564934	40.0	38.0	41.0	33.0	41.0
34	37.97919370689214	40.0	38.0	41.0	33.0	41.0
35	37.95230082858166	40.0	38.0	41.0	33.0	41.0
36	38.0670643723806	40.0	38.0	41.0	33.0	41.0
37	38.05298190151905	40.0	38.0	41.0	33.0	41.0
38	38.03868971219169	40.0	38.0	41.0	33.0	41.0
39	38.00530813687226	40.0	38.0	41.0	33.0	41.0
40	37.94482041274201	40.0	38.0	41.0	33.0	41.0
41	37.88932920354895	40.0	38.0	41.0	33.0	41.0
42	37.83823175871728	40.0	38.0	41.0	33.0	41.0
43	37.76822608165504	40.0	38.0	41.0	33.0	41.0
44	37.6807527526873	40.0	38.0	41.0	32.0	41.0
45	37.57711594684729	40.0	37.0	41.0	32.0	41.0
46	37.495760086333476	40.0	37.0	41.0	32.0	41.0
47	37.3889070514094	40.0	37.0	41.0	32.0	41.0
48	37.26590262369598	40.0	37.0	41.0	31.0	41.0
49	37.13218307945559	40.0	37.0	41.0	31.0	41.0
50	36.58342995438814	40.0	36.0	41.0	30.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.25369564242510734
1101	2	0.21662335023962953
1101	3	0.26339229351317783
1101	4	0.2010933235685215
1101	5	0.2049302967121136
1101	6	0.221407070879593
1101	7	0.2308813312296536
1101	8	0.22675058706803952
1101	9	0.2879151905066024
1101	10	0.32348082356505614
1101	11	0.3334039535830584
1101	12	0.3455377899727594
1101	13	0.3004645788164382
1101	14	0.4401664640851166
1101	15	0.3093315767554188
1101	16	0.3381379558490494
1101	17	0.25867868322956866
1101	18	0.27210741547046524
1101	19	0.28341364445899586
1101	20	0.2805292038236473
1101	21	0.214242555814252
1101	22	0.1940150918063992
1101	23	0.22807166219870822
1101	24	0.18295299296701728
1101	25	0.1383155326575647
1101	26	0.12208080104959151
1101	27	0.1504766985008672
1101	28	0.09877414336610002
1101	29	0.13095698121480126
1101	30	0.023159484504695627
1101	31	0.01915915719066419
1101	32	-0.02406408747011568
1101	33	0.09505352610194961
1101	34	0.12156192709650782
1101	35	0.14071251067618817
1101	36	0.09341934418672082
1101	37	0.10148987654986286
1101	38	0.04505894768395535
1101	39	-0.0631326531399452
1101	40	-0.04200053542471238
1101	41	-0.009424337755930878
1101	42	-0.024984833152927877
1101	43	-0.06283359586264936
1101	44	-0.05537813565883454
1101	45	-0.04713323628509869
1101	46	-0.12847785275915413
1101	47	-0.1897464469142065
1101	48	-0.25530213917222966
1101	49	-0.2529321386323886
1101	50	-0.285906632080426
1102	1	-0.01509386551354197
1102	2	0.06631504281749301
1102	3	0.09094501349565576
1102	4	0.07955015340016303
1102	5	0.10872028886894469
1102	6	0.08782937103355692
1102	7	0.11914209544109156
1102	8	0.10579886266295091
1102	9	0.13189258749369515
1102	10	0.1340597997386439
1102	11	0.07496895394591263
1102	12	0.13526810316682258
1102	13	0.1253610467554367
1102	14	0.1857789271487036
1102	15	0.06857046223448293
1102	16	0.12961107062611887
1102	17	0.12459389041402602
1102	18	0.028527928897311483
1102	19	0.16094497317333634
1102	20	0.16221212891806402
1102	21	0.17395268423645405
1102	22	0.14438547043636163
1102	23	0.1313598746216229
1102	24	0.18533055329720582
1102	25	0.13194512870132513
1102	26	0.026490027238033065
1102	27	-0.0172092325701243
1102	28	-0.07719204898708654
1102	29	-0.004912999920797745
1102	30	-0.09724422186139492
1102	31	-0.07256304339650654
1102	32	-0.09938689316888372
1102	33	-0.014413878861155638
1102	34	-0.0270729215026293
1102	35	0.02052827324226314
1102	36	0.052483871321676645
1102	37	0.04036817862213837
1102	38	-0.020314408005774
1102	39	-0.020981873558078235
1102	40	0.012462856904406294
1102	41	-0.0064537535296196324
1102	42	-0.08031464444063374
1102	43	-0.03843508996329348
1102	44	-0.08090104111759899
1102	45	-0.065280535564888
1102	46	-0.02944757424759814
1102	47	-0.09007957551101953
1102	48	-0.19988765669636166
1102	49	-0.20028639357811784
1102	50	-0.23262066502874035
1103	1	0.0767027847700632
1103	2	0.08864888278414895
1103	3	0.09284491351454704
1103	4	0.06722878783040898
1103	5	0.0831473490903818
1103	6	0.0849321783741388
1103	7	0.11123512798267399
1103	8	0.08972313214003691
1103	9	0.15197487313564295
1103	10	0.1218616454929915
1103	11	0.09539872679300032
1103	12	0.09476117634781644
1103	13	0.11291661061903113
1103	14	0.17597851416611832
1103	15	0.13146857807829093
1103	16	0.13908609095725666
1103	17	0.11856922868643949
1103	18	0.11980674408945191
1103	19	0.1359210548039087
1103	20	0.1340737722419192
